Pattern,Phrase,Base_phrase,Relations,Frequency
<QNT>_of_<Shape>,value_of_Nd_Fe_B_thin_film,"(value, Nd_Fe_B_thin_film)","(1, 0)",1
<QNT>_of_<QNT>_and_<QNT>,value_of_remanence_and_(_B_H_),"(value, remanence, (_B_H_))","(1, 0), (2, 0)",2
<QNT>_of_<QNT>_and_<QNT>,value_of_remanence_and_(_BH_),"(value, remanence, (_BH_))","(1, 0), (2, 0)",1
<QNT>_of_<QNT>_and_<QNT>,value_of_remanence_and_coercivity,"(value, remanence, coercivity)","(1, 0), (2, 0)",1
<Class>_shows_<QNT>_=_<Value>_and_<QNT>_=_<Value>,waste_magnet_shows_μ_M_=_0_T_and_μ_H_=_0_T,"(waste_magnet, μ_M, 0_T, μ_H, 0_T)","(0, 1), (1, 2), (0, 3), (3, 4)",1
<Fabrication>_of_<Fabrication>,wheel_speed_of_0_m_s_-_1,"(wheel_speed, 0_m_s_-_1)","(1, 0)",2
<Element>_of_<Element>,without_addition_of_Dy,"(without_addition, Dy)","(0, 1)",1
<Element>_of_<Element>,without_addition_of_Nd,"(without_addition, Nd)","(0, 1)",1
<Element>_of_<Element>,without_addition_of_rare_earth_element,"(without_addition, rare_earth_element)","(0, 1)",1
<Class>_be_<Value>,x_=_0_alloy_be_0_kA_/_m,"(x_=_0_alloy, 0_kA_/_m)","(0, 1)",1
<Element>_be_<Value>,x_=_0_be_0_kOe,"(x_=_0, 0_kOe)","(0, 1)",1
<Element>_(_<Element>_),α_Fe_(_0_wt_%_0_wt_%_),"(α_Fe, 0_wt_%_0_wt_%)","(0, 1)",1
<Class>_be_<Value>,α_Fe_/_Pr_Fe_B_film_be_0_μ,"(α_Fe_/_Pr_Fe_B_film, 0_μ)","(0, 1)",1
<Element>_of_<Element>,α_Fe_content_of_0_wt_%,"(α_Fe_content, 0_wt_%)","(0, 1)",1
<QNT>_=_<Value>,β_=_0_%,"(β, 0_%)","(0, 1)",1
<QNT>_be_<Value>,β_be_0_%_/_K,"(β, 0_%_/_K)","(0, 1)",1
<QNT>_be_<QNT>,β_be_temperature_coefficient,"(β, temperature_coefficient)","(0, 1)",1
<QNT>_for_<Class>,β_for_magnet,"(β, magnet)","(1, 0)",1
<QNT>_of_<Class>,β_of_magnet,"(β, magnet)","(1, 0)",1
<QNT>_of_<Value>,Δ_H_of_~_0_kA_m_-_1,"(Δ_H, ~_0_kA_m_-_1)","(0, 1)",1
<QNT>_of_<Value>,Δ_H_of_0_kA_m_-_1,"(Δ_H, 0_kA_m_-_1)","(0, 1)",1
<QNT>_~_<Value>,μ_H_~_0_0_T,"(μ_H, 0_0_T)","(0, 1)",1
<QNT>_=_<Value>,μ_H_=_0_0_T,"(μ_H, 0_0_T)","(0, 1)",2
<QNT>_for_<Shape>,μ_H_for_bulk,"(μ_H, bulk)","(1, 0)",1
<QNT>_=_<Value>,μ_M_=_0_±_0_T,"(μ_M, 0_±_0_T)","(0, 1)",2
<QNT>_=_<Value>,μ_M_=_0_0_T,"(μ_M, 0_0_T)","(0, 1)",2
<QNT>_be_<Value>,μ_M_be_0_T,"(μ_M, 0_T)","(0, 1)",1
<QNT>_of_<Value>,μ_M_of_0_T,"(μ_M, 0_T)","(0, 1)",1
